这个好,#genre#
陕西卫视,http://223.95.198.3:8000/hls/43/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/44/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/45/index.m3u8
贵州卫视,http://223.95.198.3:8000/hls/46/index.m3u8
青海卫视,http://223.95.198.3:8000/hls/47/index.m3u8
CCTV4K,http://183.236.43.98:4013/udp/239.77.0.194:5146
CCTV1,http://livenico.sheng17.site/php/aikan.php?id=cctv1&/PLTV/hls.smil.m3u8
CCTV1,http://livenico.sheng17.site/php/aikan.php?id=cctv1b&/PLTV/hls.smil.m3u8
CCTV2,http://livenico.sheng17.site/php/aikan.php?id=cctv2&/PLTV/hls.smil.m3u8
CCTV3,http://livenico.sheng17.site/php/aikan.php?id=cctv3&/PLTV/hls.smil.m3u8
CCTV4,http://livenico.sheng17.site/php/aikan.php?id=cctv4&/PLTV/hls.smil.m3u8
CCTV5,http://livenico.sheng17.site/php/aikan.php?id=cctv5&/PLTV/hls.smil.m3u8
CCTV5,http://livenico.sheng17.site/php/aikan.php?id=cctv5b&/PLTV/hls.smil.m3u8
CCTV6,http://livenico.sheng17.site/php/aikan.php?id=cctv6&/PLTV/hls.smil.m3u8
CCTV7,http://livenico.sheng17.site/php/aikan.php?id=cctv7&/PLTV/hls.smil.m3u8
CCTV8,http://livenico.sheng17.site/php/aikan.php?id=cctv8&/PLTV/hls.smil.m3u8
CCTV9,http://livenico.sheng17.site/php/aikan.php?id=cctv9&/PLTV/hls.smil.m3u8
CCTV10,http://livenico.sheng17.site/php/aikan.php?id=cctv10&/PLTV/hls.smil.m3u8
CCTV11,http://livenico.sheng17.site/php/aikan.php?id=cctv11&/PLTV/hls.smil.m3u8
CCTV12,http://livenico.sheng17.site/php/aikan.php?id=cctv12&/PLTV/hls.smil.m3u8
CCTV13,http://livenico.sheng17.site/php/aikan.php?id=cctv13&/PLTV/hls.smil.m3u8
CCTV14,http://livenico.sheng17.site/php/aikan.php?id=cctv14&/PLTV/hls.smil.m3u8
CCTV15,http://livenico.sheng17.site/php/aikan.php?id=cctv15&/PLTV/hls.smil.m3u8
CCTV16,http://vapi.91kds.cc/live1/jdtv2.m3u8?isp=dx&id=cctv16hd&apiKey=61896318c1eb1cf4c83d85c868815d68
CCTV17,http://livenico.sheng17.site/php/aikan.php?id=cctv17&/PLTV/hls.smil.m3u8
CCTV5+,http://livenico.sheng17.site/php/aikan.php?id=cctv5p&/PLTV/hls.smil.m3u8
CCTV5+,http://livenico.sheng17.site/php/aikan.php?id=cctv5p2&/PLTV/hls.smil.m3u8
陕西卫视,http://livenico.sheng17.site/php/aikan.php?id=sxws&/PLTV/hls.smil.m3u8
江西卫视,http://livenico.sheng17.site/php/aikan.php?id=jxws&/PLTV/hls.smil.m3u8
江苏卫视,http://livenico.sheng17.site/php/aikan.php?id=jsws&/PLTV/hls.smil.m3u8
广东卫视,http://livenico.sheng17.site/php/aikan.php?id=gdws&/PLTV/hls.smil.m3u8
广东卫视,http://livenico.sheng17.site/php/aikan.php?id=gdws2&/PLTV/hls.smil.m3u8
大湾区卫视,http://livenico.sheng17.site/php/aikan.php?id=dwqws&/PLTV/hls.smil.m3u8
东南卫视,http://livenico.sheng17.site/php/aikan.php?id=dnws&/PLTV/hls.smil.m3u8
海峡卫视,http://livenico.sheng17.site/php/aikan.php?id=hxws&/PLTV/hls.smil.m3u8

IPv6频道,#genre#
CCTV1,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV2,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225612/index.m3u8
CCTV3,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225611/index.m3u8
CCTV4,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225610/index.m3u8
CCTV5,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225489/index.m3u8
CCTV6,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225609/index.m3u8
CCTV7,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226002/index.m3u8
CCTV8,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225492/index.m3u8
CCTV9,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV10,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV11,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225853/index.m3u8
CCTV12,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225605/index.m3u8
CCTV13,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226062/index.m3u8
CCTV14,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225604/index.m3u8
CCTV15,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225854/index.m3u8
CCTV16,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226095/index.m3u8
CCTV17,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225608/index.m3u8
湖南卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225506/index.m3u8
北京卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225502/index.m3u8
天津卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225588/index.m3u8
河北卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226328/index.m3u8
山西卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225507/index.m3u8
内蒙古卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225511/index.m3u8
辽宁卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225593/index.m3u8
吉林卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225598/index.m3u8
黑龙江卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225594/index.m3u8
东方卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225504/index.m3u8
浙江卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225505/index.m3u8
安徽卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225590/index.m3u8
江西卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225599/index.m3u8
山东卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226326/index.m3u8
河南卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226064/index.m3u8
湖北卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226322/index.m3u8
广东卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225589/index.m3u8
深圳卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225592/index.m3u8
广西卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225557/index.m3u8
四川卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225600/index.m3u8
贵州卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225796/index.m3u8
云南卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226063/index.m3u8
陕西卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
甘肃卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225561/index.m3u8
青海卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225528/index.m3u8
宁夏卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225522/index.m3u8
新疆卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225560/index.m3u8
兵团卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225518/index.m3u8

央卫视频,#genre#
CCTV1,http://litao1100.wicp.io:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=！1&authid=0
CCTV2,http://litao1100.wicp.io:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://litao1100.wicp.io:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://litao1100.wicp.io:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://litao1100.wicp.io:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://litao1100.wicp.io:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://litao1100.wicp.io:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://litao1100.wicp.io:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://litao1100.wicp.io:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://litao1100.wicp.io:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://litao1100.wicp.io:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://litao1100.wicp.io:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://litao1100.wicp.io:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://litao1100.wicp.io:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://litao1100.wicp.io:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://litao1100.wicp.io:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://litao1100.wicp.io:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://litao1100.wicp.io:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://litao1100.wicp.io:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://litao1100.wicp.io:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://litao1100.wicp.io:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://litao1100.wicp.io:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://litao1100.wicp.io:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://litao1100.wicp.io:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://litao1100.wicp.io:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://litao1100.wicp.io:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://litao1100.wicp.io:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://litao1100.wicp.io:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://litao1100.wicp.io:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://litao1100.wicp.io:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://litao1100.wicp.io:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://litao1100.wicp.io:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://litao1100.wicp.io:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://litao1100.wicp.io:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://litao1100.wicp.io:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://litao1100.wicp.io:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://litao1100.wicp.io:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://litao1100.wicp.io:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://litao1100.wicp.io:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
北京卡通,http://litao1100.wicp.io:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
河南都市,http://litao1100.wicp.io:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
河南民生,http://litao1100.wicp.io:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
河南法制,http://litao1100.wicp.io:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://litao1100.wicp.io:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
河南新闻,http://litao1100.wicp.io:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
福建东南,http://litao1100.wicp.io:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
河南公共,http://litao1100.wicp.io:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
河南新农村,http://litao1100.wicp.io:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
央视频道,#genre#
CCTV1,http://43.156.8.127:5050/ysp?id=2024078201&pid=600001859&q=fhd
CCTV2,http://43.156.8.127:5050/ysp?id=2024075401&pid=600001800&q=fhd
CCTV3,http://43.156.8.127:5050/ysp?id=2024068501&pid=600001801&q=fhd
CCTV4,http://43.156.8.127:5050/ysp?id=2029797103&pid=600001814&q=fhd
CCTV5,http://43.156.8.127:5050/ysp?id=2024078401&pid=600001818&q=fhd
CCTV5+,http://43.156.8.127:5050/ysp?id=2024078001&pid=600001817&q=fhd
CCTV6,http://43.156.8.127:5050/ysp?id=2013693901&pid=600108442&q=fhd
CCTV7,http://43.156.8.127:5050/ysp?id=2024072001&pid=600004092&q=fhd
CCTV8,http://43.156.8.127:5050/ysp?id=2029793001&pid=600001803&q=fhd
CCTV9,http://43.156.8.127:5050/ysp?id=2024078601&pid=600004078&q=fhd
CCTV10,http://43.156.8.127:5050/ysp?id=2024078701&pid=600001805&q=fhd
CCTV11,http://43.156.8.127:5050/ysp?id=2027248701&pid=600001806&q=fhd
CCTV12,http://43.156.8.127:5050/ysp?id=2027248801&pid=600001807&q=fhd
CCTV13,http://43.156.8.127:5050/ysp?id=2029797203&pid=600001811&q=fhd
CCTV14,http://43.156.8.127:5050/ysp?id=2027248901&pid=600001809&q=fhd
CCTV15,http://43.156.8.127:5050/ysp?id=2027249001&pid=600001815&q=fhd
CCTV16,http://43.156.8.127:5050/ysp?id=2027249101&pid=600098637&q=fhd
CCTV16(4K),http://43.156.8.127:5050/ysp?id=2027249301&pid=600099502&q=fhd
CCTV17,http://43.156.8.127:5050/ysp?id=2027249401&pid=600001810&q=fhd
CCTV4K,http://43.156.8.127:5050/ysp?id=2027249501&pid=600002264&q=fhd
CCTV8K,http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=fhd
北京卫视,http://43.156.8.127:5050/ysp?id=2024052703&pid=600002309&q=fhd
东方卫视,http://43.156.8.127:5050/ysp?id=2024054503&pid=600002483&q=fhd
江苏卫视,http://43.156.8.127:5050/ysp?id=2024171103&pid=600002521&q=fhd
浙江卫视,http://43.156.8.127:5050/ysp?id=2024054703&pid=600002520&q=fhd
湖南卫视,http://43.156.8.127:5050/ysp?id=2024054803&pid=600002475&q=fhd
湖北卫视,http://43.156.8.127:5050/ysp?id=2024171203&pid=600002508&q=fhd
广东卫视,http://43.156.8.127:5050/ysp?id=2024060903&pid=600002485&q=fhd
广西卫视,http://43.156.8.127:5050/ysp?id=2024060703&pid=600002509&q=fhd
黑龙江卫视,http://43.156.8.127:5050/ysp?id=2029797003&pid=600002498&q=fhd
海南卫视,http://43.156.8.127:5050/ysp?id=2024055603&pid=600002506&q=fhd
重庆卫视,http://43.156.8.127:5050/ysp?id=2024061103&pid=600002531&q=fhd
中国教育1台,http://43.156.8.127:5050/ysp?id=2022823801&pid=600171827&q=fhd
深圳卫视,http://43.156.8.127:5050/ysp?id=2024061303&pid=600002481&q=fhd
四川卫视,http://43.156.8.127:5050/ysp?id=2024061403&pid=600002516&q=fhd
河南卫视,http://43.156.8.127:5050/ysp?id=2029797303&pid=600002525&q=fhd
东南卫视,http://43.156.8.127:5050/ysp?id=2024061503&pid=600002484&q=fhd
贵州卫视,http://43.156.8.127:5050/ysp?id=2024061603&pid=600002490&q=fhd
江西卫视,http://43.156.8.127:5050/ysp?id=2024061703&pid=600002503&q=fhd
辽宁卫视,http://43.156.8.127:5050/ysp?id=2024171303&pid=600002505&q=fhd
安徽卫视,http://43.156.8.127:5050/ysp?id=2024171403&pid=600002532&q=fhd
河北卫视,http://43.156.8.127:5050/ysp?id=2024171503&pid=600002493&q=fhd
山东卫视,http://43.156.8.127:5050/ysp?id=2029787903&pid=600002513&q=fhd
天津卫视,http://43.156.8.127:5050/ysp?id=2019927003&pid=600152137&q=fhd
陕西卫视,http://43.156.8.127:5050/ysp?id=2029795103&pid=600190400&q=fhd
内蒙古卫视,http://43.156.8.127:5050/ysp?id=2025561203&pid=600190401&q=fhd
甘肃卫视,http://43.156.8.127:5050/ysp?id=2025561703&pid=600190408&q=fhd
宁夏卫视,http://43.156.8.127:5050/ysp?id=2025608503&pid=600190737&q=fhd
山西卫视,http://43.156.8.127:5050/ysp?id=2025560803&pid=600190407&q=fhd
云南卫视,http://43.156.8.127:5050/ysp?id=2025561303&pid=600190402&q=fhd
吉林卫视,http://43.156.8.127:5050/ysp?id=2025561503&pid=600190405&q=fhd
青海卫视,http://43.156.8.127:5050/ysp?id=2025559103&pid=600190406&q=fhd

河北电信,#genre#
CCTV1,http://yhms.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV1,http://lysj.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV1,http://zczb.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV2,http://lysj.aylzline.top:8899/rtp/225.1.2.78:10462
CCTV3,http://lysj.aylzline.top:8899/rtp/225.1.2.141:10864
CCTV3,http://zczb.aylzline.top:8899/rtp/225.1.2.141:10864
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1771671600-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-3d0bfb426c252031880b25f973de76ff&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV4,http://yhms.aylzline.top:8899/rtp/225.1.2.197:11806
CCTV4,http://lysj.aylzline.top:8899/rtp/225.1.2.197:11806
CCTV5,http://lysj.aylzline.top:8899/rtp/225.1.2.142:10870
CCTV5+,http://lysj.aylzline.top:8899/rtp/225.1.2.48:10282
CCTV5+,http://yhms.aylzline.top:8899/rtp/225.1.2.48:10282
CCTV5,http://zczb.aylzline.top:8899/rtp/225.1.2.142:10870
CCTV6,http://yhms.aylzline.top:8899/rtp/225.1.2.143:10876
CCTV7,http://yhms.aylzline.top:8899/rtp/225.1.2.79:10468
CCTV7,http://zczb.aylzline.top:8899/rtp/225.1.2.79:10468
CCTV8,http://yhms.aylzline.top:8899/rtp/225.1.2.144:10882
CCTV8,http://zczb.aylzline.top:8899/rtp/225.1.2.144:10882
CCTV9,http://max.token.itv888.vip:2052/live/fetch/l_177062?token=1bd27e262748c54f34582a55360714dd%3Ae7b1561a25220ceee2888ca48e8c5c32&key=13dc04e730ae74d0e332758ca9ead991%3A8e26ccd38095d3934d1993408dfb0bcd9add66ffadd29a2d5a690d71f6571ea29d272e7b1c21f7e9ac6c7a7e45d00b9955e8564b2a2b727b071a0d6427ee00697ee5a197c858695d7e19308f45774db9a220589c9ca0d91eac3ba9db366ba9d731a52fd90f87f65389906ded52ed440e82b153b2a8d267a5f315d757aadf2744c8bef3c51a9bb61aa4039be54d77b8cd94f15b262c48783c1a3b1372d9383a5fef6a8619bccd3c9a2f10f0ab1c99cfccced905482b6217e18a4c1853992cc04b8e73be36293a41ccf00700498127f406058be2789a1241fb93f9b038e6f387012828c9b0579dd6d1daf2ba2523a891a40c845136677e6ca63036f12415873140895f3e3dbf33e905b3488f88e75cf337&clientIp=240e%3A3a1%3A4a9b%3Ab7c0%3A1568%3A9187%3A429%3Abfbc
CCTV10,http://max.token.itv888.vip:2052/live/fetch/l_177065?token=03225e795e828c8ffb9e41f3c99c4382%3A8a4b43bea2e58b7246f06a24143d3304&key=fe65c824485d791a7830b65aa3ecf0af%3A30a99938da00fedc17a98dd454a55c82f8ad2dc5a81828573b24fec44abd3a562ce4bd935ab84a129b678eedf22621a28db6c1895b920d6dcd904c9e47ca0a6fe1abe8ef707da28e137149765a65452ebdaf6360d8e16b4ec12a714ceddde1b17b65bbbc1b0495cd8b9da875a536b54b390aa90befd8955bf08f5261ff778f046bbfd0131409b8aa6375ada9c0e829bc4fbcd45a42a1edd7eadc1c211c82660f8e1fe266732faa5da7077f7dba1792e8c19959de78b4a6cc1d8578feb0ee8f80c0f0b3dbdb4741d07fed0802a816e6e07318d8b3309a7e390f24ae29f3d3ce638b0f7ff137c3afac8366c84f6d66beda6e95429bc226b923b10a2a5ed7aacec8745bbdc578a9263386581e3256232733&clientIp=240e%3A3a1%3A4a9b%3Ab7c0%3A1568%3A9187%3A429%3Abfbc
CCTV9,http://yhms.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV9,http://zczb.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV9,http://lysj.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV10,http://yhms.aylzline.top:8899/rtp/225.1.2.81:10480
CCTV10,http://zczb.aylzline.top:8899/rtp/225.1.2.81:10480
CCTV11,http://yhms.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV11,http://lysj.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV11,http://zczb.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV12,http://lysj.aylzline.top:8899/rtp/225.1.2.82:10486
CCTV12,http://zczb.aylzline.top:8899/rtp/225.1.2.82:10486
CCTV13,http://lysj.aylzline.top:8899/rtp/225.1.2.74:11584
CCTV13,http://zczb.aylzline.top:8899/rtp/225.1.2.74:11584
CCTV14,http://zczb.aylzline.top:8899/rtp/225.1.2.83:10492
CCTV14,http://lysj.aylzline.top:8899/rtp/225.1.2.83:10492
CCTV15,http://yhms.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV15,http://lysj.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV15,http://zczb.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV17,http://yhms.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV17,http://lysj.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV17,http://zczb.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV4欧洲,http://lysj.aylzline.top:8899/rtp/225.1.2.182:11818
CCTV4欧洲,http://yhms.aylzline.top:8899/rtp/225.1.2.182:11818
CCTV4美洲,http://yhms.aylzline.top:8899/rtp/225.1.2.183:11824
CCTV4美洲,http://zczb.aylzline.top:8899/rtp/225.1.2.183:11824
江苏卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.84:10498
江苏卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.84:10498
广东卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.151:10924
广东卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.151:10924
广东卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.151:10924
浙江卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.85:10504
